# rank frequency word
939 23 original
940 23 pagan
941 23 passing
942 23 real
943 23 speaking
944 23 spot
945 23 tall
946 23 yellow
947 22 aboard
948 22 advance
949 22 ain
950 22 answered
951 22 attached
952 22 avast
953 22 blacksmith
954 22 centre
955 22 dashed
956 22 deadly
957 22 descried
958 22 drew
959 22 east
960 22 empty
961 22 filled
962 22 formed
963 22 french
964 22 game
965 22 golden
966 22 jacket
967 22 jolly
968 22 laid
969 22 likewise
970 22 lives
971 22 nantucketer
972 22 post
973 22 radney
974 22 rear
975 22 seventy
976 22 sing
977 22 sink
978 22 sitting
979 22 sleeping
980 22 souls
981 22 step
982 22 stove
983 22 terrible
984 22 windlass
985 22 windward
986 22 wonderful
987 21 age
988 21 anchor
989 21 base
990 21 beheld
991 21 decks
992 21 directly
993 21 distant
994 21 dost
995 21 doubloon
996 21 evinced
997 21 follow
998 21 gay
999 21 gunwale
1000 21 hailed
1001 21 holy
1002 21 invested
1003 21 lee
1004 21 lofty
1005 21 minutes
1006 21 prow
1007 21 quickly
1008 21 repeated
1009 21 ribs
1010 21 spare
1011 21 subject
1012 21 swim
1013 21 terror
1014 21 terrors
1015 21 tree
1016 21 truly
1017 21 ways
1018 21 winds
1019 21 worse
1020 20 advancing
1021 20 beginning
1022 20 billows
1023 20 breeze
1024 20 casks
1025 20 copyright
1026 20 cross
1027 20 dat
1028 20 died
1029 20 dignity
1030 20 dim
1031 20 drive
1032 20 england
1033 20 everything
1034 20 fain
1035 20 fall
1036 20 floor
1037 20 former
1038 20 gabriel
1039 20 gentleman
1040 20 gigantic
1041 20 grown
1042 20 hanging
1043 20 hollow
1044 20 hunter
1045 20 important
1046 20 inches
1047 20 ishmael
1048 20 license
1049 20 lies
1050 20 lowered
1051 20 lying
1052 20 marked
1053 20 meet
1054 20 met
1055 20 moreover
1056 20 needs
1057 20 officers
1058 20 outer
1059 20 owners
1060 20 past
1061 20 places
1062 20 profound
1063 20 raised
1064 20 rise
1065 20 separate
1066 20 slightest
1067 20 son
1068 20 spade
1069 20 squall
1070 20 stone
1071 20 swam
1072 20 swung
1073 20 thinks
1074 20 virtue
1075 19 atlantic
1076 19 awful
1077 19 bring
1078 19 cannibal
1079 19 chiefly
1080 19 concluded
1081 19 copy
1082 19 dam
1083 19 deeper
1084 19 delight
1085 19 dog
1086 19 eh
1087 19 elephant
1088 19 ends
1089 19 eternal
1090 19 fight
1091 19 figure
1092 19 foam
1093 19 forced
1094 19 glass
1095 19 glory
1096 19 grey
1097 19 hunted
1098 19 ill
1099 19 inch
1100 19 largest
1101 19 leaves
1102 19 lowering
1103 19 merchant
1104 19 merely
1105 19 noon
1106 19 ones
1107 19 ordinary
1108 19 pale
1109 19 pay
1110 19 picture
1111 19 pictures
1112 19 pitch
1113 19 pointing
1114 19 porpoise
1115 19 precise
1116 19 presented
1117 19 presently
1118 19 queen
1119 19 quietly
1120 19 rapidly
1121 19 reached
1122 19 sake
1123 19 seat
1124 19 silence
1125 19 smoking
1126 19 solitary
1127 19 sorts
1128 19 spermaceti
1129 19 spirit
1130 19 stuff
1131 19 swiftly
1132 19 telling
1133 19 tomahawk
1134 19 upwards
1135 19 vicinity
1136 19 whaler
1137 19 whalers
1138 18 agreement
1139 18 beach
1140 18 bedford
1141 18 beef
1142 18 box
1143 18 brave
1144 18 breath
1145 18 careful
1146 18 chains
1147 18 child
1148 18 children
1149 18 christian
1150 18 content
1151 18 crossing
1152 18 crown
1153 18 difference
1154 18 dinner
1155 18 drink
1156 18 dropping
1157 18 engaged
1158 18 evening
1159 18 example
1160 18 flag
1161 18 floated
1162 18 future
1163 18 gives
1164 18 guess
1165 18 height
1166 18 hill
1167 18 hook
1168 18 horizon
1169 18 inside
1170 18 instance
1171 18 intense
1172 18 interest
1173 18 islands
1174 18 jump
1175 18 kings
1176 18 lead
1177 18 leave
1178 18 lo
1179 18 longer
1180 18 mentioned
1181 18 modern
1182 18 mother
1183 18 nameless
1184 18 observed
1185 18 opposite
1186 18 period
1187 18 perth
1188 18 pieces
1189 18 plenty
1190 18 pots
1191 18 precious
1192 18 prodigious
1193 18 rate
1194 18 re
1195 18 regularly
1196 18 revealed
1197 18 roll
1198 18 rush
1199 18 seized
1200 18 sought
1201 18 spite
1202 18 steward
1203 18 thereby
1204 18 thine
1205 18 understand
1206 18 voyages
1207 18 west
1208 18 whereas
1209 18 yard
1210 18 yonder
1211 17 affair
1212 17 animal
1213 17 bad
1214 17 bench
1215 17 bird
1216 17 bold
1217 17 books
1218 17 bore
1219 17 captured
1220 17 compass
1221 17 continually
1222 17 cool
1223 17 crews
1224 17 devils
1225 17 dough
1226 17 dragged
1227 17 fail
1228 17 fatal
1229 17 flame
1230 17 foolish
1231 17 friends
1232 17 fro
1233 17 gaze
1234 17 grave
1235 17 hark
1236 17 heave
1237 17 heavens
1238 17 hell
1239 17 hitherto
1240 17 hussey
1241 17 immediately
1242 17 impossible
1243 17 including
1244 17 individual
1245 17 inn
1246 17 inserted
1247 17 irons
1248 17 isles
1249 17 joy
1250 17 laugh
1251 17 laws
1252 17 leviathans
1253 17 lifted
1254 17 lips
1255 17 madness
1256 17 meaning
1257 17 minute
1258 17 monkey
1259 17 months
1260 17 motion
1261 17 muttered
1262 17 mystic
1263 17 native
1264 17 neck
1265 17 oarsmen
1266 17 originally
1267 17 plank
1268 17 previously
1269 17 prophet
1270 17 pulpit
1271 17 race
1272 17 remember
1273 17 ring
1274 17 rocks
1275 17 row
1276 17 rushing
1277 17 sent
1278 17 shape
1279 17 shouted
1280 17 sixty
1281 17 solid
1282 17 spine
1283 17 starboard
1284 17 tackles
1285 17 thin
1286 17 thrust
1287 17 trunk
1288 17 trying
1289 17 using
1290 17 weight
1291 17 whence
1292 17 wound
1293 17 yojo
1294 16 actually
1295 16 amid
1296 16 anywhere
1297 16 barrels
1298 16 behold
1299 16 binnacle
1300 16 bread
1301 16 breaking
1302 16 carries
1303 16 charge
1304 16 civilized
1305 16 clean
1306 16 clock
1307 16 colour
1308 16 commander
1309 16 corner
1310 16 cries
1311 16 distinct
1312 16 doom
1313 16 double
1314 16 earthly
1315 16 encounter
1316 16 encountered
1317 16 fairly
1318 16 fate
1319 16 feels
1320 16 fill
1321 16 fit
1322 16 flames
1323 16 folio
1324 16 fool
1325 16 freely
1326 16 fully
1327 16 furnished
1328 16 gallant
1329 16 ginger
1330 16 happened
1331 16 harbor
1332 16 heat
1333 16 horizontal
1334 16 immense
1335 16 invisible
1336 16 keen
1337 16 knowing
1338 16 locked
1339 16 lungs
1340 16 mariner
